video_num,duration,comments,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring,tags,views
16,1481,325,1671,190,190,29,143,879,635,22,10,2280,95,41,39,15,"['entertainment', 'music', 'performance', 'violin', 'wunderkind', 'youth']",2702470
17,1445,305,1107,85,197,22,35,552,454,53,1997,68,32,22,24,31,"['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']",1628912
18,906,88,321,150,67,279,515,159,13,21,19,140,30,63,4,7,"['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']",1415724
19,1170,163,259,49,185,80,79,119,113,71,363,220,93,210,68,22,"['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']",1074081
20,1201,84,104,13,46,170,63,478,277,181,19,73,68,11,54,14,"['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']",1106561
21,1114,108,117,52,22,12,30,320,258,111,8,26,26,120,69,6,"['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']",966439
22,1136,185,2799,387,75,74,137,203,266,196,61,177,80,239,450,20,"['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",6141440
23,1006,50,82,106,86,33,54,119,67,40,34,9,87,23,41,3,"['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",518624
24,1407,556,780,177,864,345,249,2591,1083,2106,245,115,1513,394,207,111,"['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']",9260764
25,1225,117,654,154,109,31,27,44,342,13,789,144,97,97,26,43,"['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']",1131864
26,1140,184,269,92,131,42,91,446,397,515,45,49,1234,73,139,21,"['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']",1096862
27,1316,507,333,112,127,417,42,91,653,674,1281,324,41,367,93,39,"['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']",2885999
28,1275,95,485,43,19,35,175,12,532,93,404,44,61,109,7,17,"['business', 'cities', 'culture', 'economics', 'narcotics', 'race']",2863214
29,1050,355,1668,1127,333,190,80,87,115,2004,1276,2082,1014,290,361,51,"['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']",7023562
30,1276,970,1728,1166,241,444,174,169,248,3899,3554,4303,2355,1047,439,67,"['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']",14689301
31,1177,991,1526,178,1201,400,277,2532,2427,2491,324,54,2478,521,421,115,"['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']",10000702
32,1129,213,68,171,279,277,38,84,377,356,30,58,93,152,75,13,"['cancer', 'disease', 'health', 'science', 'technology', 'wunderkind']",1030267
33,1365,612,309,215,350,215,206,297,65,536,518,812,1359,145,337,120,"['aging', 'biotech', 'disease', 'engineering', 'future', 'health care', 'science', 'technology']",3277740
34,952,74,112,11,16,164,153,61,55,8,66,32,6,18,3,1,"['alternative energy', 'business', 'communication', 'culture', 'global development', 'global issues', 'invention', 'investment', 'microfinance', 'poverty', 'technology', 'telecom', 'transportation']",503517
35,773,58,60,53,16,30,138,260,62,4,92,6,21,5,5,3,"['Africa', 'TED Brain Trust', 'business', 'culture', 'entrepreneur', 'global development', 'investment', 'microfinance', 'philanthropy', 'poverty']",705389
36,1080,43,31,42,101,71,27,25,53,51,11,4,3,4,1,11,"['business', 'culture', 'global issues', 'investment', 'media', 'philanthropy']",580891
37,1125,67,139,25,48,31,35,21,218,113,44,51,35,112,9,11,"['business', 'corruption', 'culture', 'economics', 'entrepreneur', 'global development', 'global issues', 'investment', 'military', 'policy', 'politics', 'poverty']",809226
38,1177,186,168,30,63,86,77,23,336,498,247,70,115,63,198,47,"['NASA', 'aircraft', 'business', 'design', 'engineering', 'entrepreneur', 'flight', 'industrial design', 'invention', 'rocket science']",2028451
39,1083,57,80,274,44,18,44,288,124,74,20,22,7,7,10,1,"['climate change', 'culture', 'exploration', 'global issues', 'personal growth', 'potential', 'sports', 'technology', 'travel']",745231
40,1672,112,41,68,12,104,26,30,80,294,51,145,22,39,24,33,"['AIDS', 'Africa', 'activism', 'entertainment', 'global issues', 'philanthropy', 'poverty', 'social change']",718649
41,2065,58,106,52,58,158,184,11,149,8,20,95,27,64,10,10,"['TED Prize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'social change']",975107
42,1609,33,126,115,6,18,4,48,74,11,23,8,27,18,20,1,"['TED Prize', 'business', 'disease', 'health care', 'invention', 'medicine', 'science', 'technology']",382996
43,1280,105,103,67,13,98,106,844,87,357,364,73,75,15,11,2,"['culture', 'genetics', 'science', 'statistics', 'technology']",1053758
44,805,494,2751,151,509,136,51,1344,373,799,109,37,1958,133,237,157,"['culture', 'entertainment', 'faith', 'illusion', 'religion', 'science']",5364639
45,1376,233,61,207,111,91,55,150,806,388,18,691,309,237,141,27,"['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']",2434344
46,1200,149,192,269,52,11,87,147,136,279,311,34,1084,111,49,24,"['choice', 'culture', 'evolution', 'future', 'history', 'philosophy', 'science', 'technology']",1536873
47,848,52,180,36,5,23,145,222,25,14,27,92,33,8,36,3,"['TED Brain Trust', 'activism', 'art', 'collaboration', 'culture', 'film', 'global issues', 'music', 'social change', 'storytelling']",904215
48,210,578,2966,576,213,1912,4978,43,777,638,457,27,1433,251,685,57,"['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']",10841210
49,247,95,949,377,44,408,41,21,195,56,186,45,135,73,94,25,"['culture', 'entertainment', 'love', 'performance', 'philosophy', 'poetry']",1813665
50,198,199,749,54,8,28,61,151,31,85,31,331,133,14,62,8,"['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']",2299265
51,843,85,265,70,36,45,105,130,97,18,21,73,32,47,62,3,"['business', 'cities', 'culture', 'entrepreneur', 'future', 'global development', 'global issues', 'policy', 'poverty', 'social change']",673036
52,1001,499,283,139,16,79,63,537,16,549,280,169,1668,111,67,212,"['AIDS', 'Africa', 'business', 'choice', 'climate change', 'culture', 'disaster relief', 'economics', 'environment', 'future']",1391142
53,1321,371,563,698,68,24,136,55,54,970,928,192,380,426,75,46,"['anthropology', 'culture', 'environment', 'film', 'global issues', 'language', 'photography']",2532851
54,1115,59,126,116,25,61,30,157,88,16,33,17,24,7,14,5,"['activism', 'art', 'culture', 'design', 'film', 'global issues', 'photography', 'social change', 'storytelling']",882034
55,1046,203,214,60,47,63,132,109,607,460,737,27,175,188,21,117,"['astronomy', 'climate change', 'complexity', 'cosmos', 'science', 'social change', 'technology', 'time', 'universe']",2121177
56,1151,130,342,102,121,140,107,55,30,251,343,167,288,129,23,40,"['collaboration', 'culture', 'evolutionary psychology', 'global issues', 'war']",1090180
57,603,47,94,384,201,26,13,66,9,72,20,11,10,5,2,5,"['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']",684519
58,1141,91,116,29,32,355,408,200,37,16,249,67,36,11,10,3,"['business', 'collaboration', 'culture', 'economics', 'innovation', 'invention', 'media', 'open-source', 'product design']",1409327
59,825,222,1810,142,420,18,53,22,58,525,846,21,2011,34,81,22,"['dance', 'entertainment', 'nature', 'performance', 'science', 'science and art']",3051507
60,1385,111,179,186,151,67,31,149,208,224,7,14,146,39,36,37,"['MacArthur grant', 'United States', 'culture', 'entertainment', 'history', 'interview', 'performance', 'performance art', 'race', 'sports', 'storytelling', 'theater']",978825
61,869,28,89,94,48,31,98,84,22,4,12,53,23,4,6,3,"['MacArthur grant', 'collaboration', 'design', 'innovation', 'invention', 'materials', 'open-source', 'product design', 'technology']",442553
62,1038,64,156,11,55,26,111,188,172,9,21,12,105,42,9,10,"['code', 'computers', 'culture', 'education', 'engineering', 'invention', 'materials', 'science', 'social change', 'technology']",691814
63,1155,226,199,313,159,411,1260,242,93,73,35,575,53,21,30,141,"['choice', 'culture', 'happiness', 'health', 'parenting', 'personal growth', 'potential', 'psychology', 'work-life balance']",2441805
64,1447,97,37,102,23,45,45,208,368,86,160,47,32,11,7,11,"['Africa', 'TED Prize', 'business', 'culture', 'economics', 'global issues', 'health care', 'technology']",849859
65,1355,89,60,168,74,44,20,71,17,353,403,229,79,46,178,5,"['TED Prize', 'ants', 'biodiversity', 'biology', 'ecology', 'global issues', 'insects', 'nature', 'science', 'technology']",1335732
66,1316,107,637,126,25,27,234,574,198,15,24,296,171,24,13,3,"['activism', 'art', 'culture', 'global issues', 'media', 'photography', 'poverty', 'social change', 'storytelling', 'war']",1262674
67,1645,161,441,36,289,70,30,28,387,944,432,35,285,107,27,63,"['Africa', 'animals', 'culture', 'environment', 'global issues', 'nature', 'primates', 'science']",1663001
68,1021,220,785,95,444,91,59,23,997,1040,571,46,811,158,100,34,"['TED Brain Trust', 'business', 'choice', 'culture', 'marketing', 'storytelling']",5570544
69,1211,114,101,306,106,54,39,230,360,184,298,34,66,54,47,29,"['DNA', 'culture', 'genetics', 'history', 'invention', 'science', 'storytelling', 'technology']",1520908
70,873,88,80,123,109,319,221,173,367,102,62,284,35,93,32,2,"['brain', 'cognitive science', 'culture', 'design', 'illusion', 'psychology']",2138907
71,1207,130,121,15,49,20,19,89,116,68,34,14,34,63,17,17,"['business', 'cars', 'industrial design', 'innovation', 'invention', 'robots', 'science', 'social change', 'sustainability', 'technology', 'transportation']",680134
72,1340,49,27,35,89,23,19,319,176,310,19,7,133,21,181,15,"['DNA', 'TED Brain Trust', 'biotech', 'business', 'culture', 'genetics', 'invention', 'science', 'technology']",690928
73,930,86,31,468,159,180,68,100,542,138,52,70,123,14,23,33,"['TED Brain Trust', 'art', 'design', 'happiness', 'typography']",1762302
74,1054,107,100,97,78,313,518,30,158,31,12,59,72,174,14,15,"['alternative energy', 'business', 'cities', 'collaboration', 'culture', 'design', 'environment', 'global issues', 'invention', 'sustainability']",1392010
75,1240,50,69,24,42,60,61,91,59,53,11,44,15,18,7,2,"['architecture', 'cities', 'culture', 'design', 'invention']",660909
76,1204,78,88,97,32,81,100,36,23,87,162,76,45,64,28,9,"['art', 'business', 'cars', 'design', 'industrial design', 'invention', 'technology', 'transportation']",867495
77,276,40,123,22,20,17,71,2,22,38,5,31,11,7,13,3,"['entertainment', 'live music', 'music', 'performance', 'poetry', 'singer']",395769
78,850,27,130,33,12,31,11,199,276,14,98,54,9,56,19,1,"['business', 'design', 'industrial design', 'product design']",761930
79,891,84,448,507,364,27,21,46,362,402,16,10,162,20,44,9,"['Brazil', 'animation', 'art', 'creativity', 'design', 'illusion']",1149090
80,1012,131,78,66,173,273,88,151,108,119,15,20,108,47,66,19,"['biotech', 'culture', 'future', 'global issues', 'happiness', 'philosophy', 'technology']",762264
81,1399,127,74,241,33,387,448,874,704,18,11,338,234,38,27,14,"['DNA', 'animals', 'biology', 'biomimicry', 'design', 'environment', 'evolution', 'fish', 'science', 'technology']",1920434
82,1011,34,21,54,23,12,199,73,163,8,74,23,10,3,3,0,"['DNA', 'biodiversity', 'biology', 'biotech', 'ecology', 'entrepreneur', 'genetics', 'invention', 'oceans', 'science', 'technology']",560904
83,893,47,95,89,56,80,53,13,21,43,65,7,89,57,16,0,"['art', 'entertainment', 'invention', 'music', 'performance', 'software', 'technology']",606311
84,1045,335,544,272,70,119,56,604,556,1342,1936,61,15,106,37,23,"['animals', 'apes', 'biology', 'culture', 'evolution', 'genetics', 'intelligence', 'language']",2197377
85,977,143,1262,141,75,71,108,262,611,600,25,18,882,145,62,88,"['animals', 'art', 'design', 'evolution', 'fish', 'nature', 'photography', 'storytelling']",1697185
86,985,57,108,111,159,5,496,85,724,16,234,67,16,8,21,3,"['biology', 'biomechanics', 'oceans', 'online video', 'science', 'technology']",1115081
87,163,39,45,259,84,11,16,25,70,16,5,28,16,10,8,6,"['climate change', 'environment', 'guitar', 'music', 'performance', 'vocals']",591379
88,459,34,215,21,20,45,5,32,17,9,58,7,5,1,2,0,"['cello', 'entertainment', 'music', 'performance', 'vocals']",398713
89,1308,501,219,197,101,189,67,680,204,264,27,182,289,89,45,653,"['TED Brain Trust', 'brain', 'consciousness', 'culture', 'entertainment', 'illusion', 'self', 'visualizations']",2676717
90,1929,296,122,1535,397,312,33,107,483,2061,49,1291,1587,218,114,29,"['creativity', 'entertainment', 'live music', 'music', 'performance']",4165572
91,1205,231,75,415,138,34,149,49,257,695,286,27,907,207,39,25,"['architecture', 'business', 'china', 'cities', 'culture', 'design', 'environment', 'global issues', 'sustainability', 'technology']",1426390
92,1031,58,83,14,130,66,41,24,18,267,166,93,68,66,16,16,"['TED Brain Trust', 'United States', 'business', 'entrepreneur', 'history', 'innovation', 'invention', 'technology', 'web']",754700
93,251,58,189,169,225,124,7,117,5,8,133,11,11,17,8,4,"['entertainment', 'memory', 'performance', 'poetry', 'spoken word', 'storytelling']",643078
94,378,75,13,396,17,61,9,5,24,35,47,3,7,2,2,0,"['composing', 'entertainment', 'guitar', 'memory', 'music', 'performance', 'piano']",513672
95,312,50,272,6,12,20,13,169,12,31,24,48,23,15,1,3,"['composing', 'entertainment', 'guitar', 'music', 'performance', 'performance art', 'piano', 'potential', 'vocals']",428351
96,1172,588,435,104,87,223,316,75,319,112,11,36,66,66,98,27,"['God', 'culture', 'disaster relief', 'global issues', 'natural disaster', 'philosophy', 'religion']",616385
97,1750,6404,3236,539,399,86,1203,663,192,1113,2935,934,2475,551,406,172,"['God', 'atheism', 'culture', 'religion', 'science']",4374792
98,1195,49,600,94,38,56,54,37,17,11,18,19,116,39,71,1,"['comedy', 'culture', 'humor', 'performance']",609087
99,201,39,58,224,8,27,9,26,40,43,55,14,12,1,4,0,"['entertainment', 'live music', 'music', 'performance']",443180
100,858,42,33,8,39,334,55,100,11,19,8,17,51,85,12,15,"['business', 'culture', 'economics', 'entertainment', 'marketing', 'technology']",904520
101,311,67,364,29,22,102,23,67,54,80,10,23,6,12,12,1,"['entertainment', 'history', 'live music', 'music', 'performance', 'violin']",717002
102,1233,56,143,54,50,94,51,77,302,176,97,19,163,17,39,22,"['Google', 'TED Brain Trust', 'business', 'collaboration', 'culture', 'design', 'technology', 'web']",1451846
103,277,72,275,88,61,26,57,38,33,52,36,32,101,23,29,16,"['culture', 'entertainment', 'live music', 'music', 'performance', 'poetry', 'race', 'sports']",577502
104,1184,328,1006,446,52,191,106,113,29,686,801,342,1678,193,124,87,"['alternative energy', 'architecture', 'cars', 'cities', 'consumerism', 'culture', 'design', 'energy', 'transportation']",1683456
105,1020,32,50,73,43,25,7,113,144,29,84,50,10,11,7,13,"['collaboration', 'creativity', 'culture', 'design', 'museums', 'philanthropy', 'science and art', 'water']",779873
106,185,99,159,30,261,24,10,189,53,58,25,15,115,49,44,10,"['TED Brain Trust', 'business', 'cities', 'culture', 'future', 'global issues', 'poverty', 'technology', 'urban planning']",940913
107,1211,230,73,375,256,39,44,37,553,635,750,22,268,151,28,43,"['AI', 'brain', 'cognitive science', 'computers', 'intelligence', 'memory', 'science', 'technology']",1371482
108,1001,87,330,156,22,15,383,144,347,5,22,50,28,31,14,3,"['animals', 'biodiversity', 'climate change', 'environment', 'fish', 'global issues', 'oceans', 'science', 'technology']",870412
109,450,260,632,1736,76,70,60,41,40,647,857,1623,14728,95,119,21,"['collaboration', 'demo', 'microsoft', 'photography', 'software', 'technology', 'virtual reality', 'visualizations']",4772595
110,1072,295,174,72,33,4,42,19,19,234,378,57,207,49,39,27,"['climate change', 'environment', 'global issues', 'green', 'investment', 'sustainability', 'technology']",805111
111,1213,127,132,136,43,21,20,347,363,78,176,39,42,2,2,3,"['business', 'corruption', 'global issues', 'investment', 'women', 'women in business']",1044185
112,279,124,161,470,342,10,77,13,45,177,125,301,167,94,48,8,"['demo', 'interface design', 'software', 'technology']",1479503
113,726,220,330,424,57,47,73,50,71,185,947,209,171,90,39,26,"['Buddhism', 'God', 'culture', 'global issues', 'happiness', 'peace', 'religion']",1493606
114,1477,14,60,64,12,29,37,12,3,11,11,26,19,4,9,0,"['New York', 'architecture', 'cities', 'collaboration', 'culture', 'death', 'design', 'disaster relief', 'interview', 'memory', 'urban planning']",404402
115,1402,305,88,384,293,194,16,44,149,479,319,31,535,160,87,17,"['culture', 'global issues', 'military', 'peace', 'technology', 'terrorism', 'war']",1136037
116,214,27,216,6,3,24,10,14,54,48,19,10,57,8,8,0,"['cello', 'collaboration', 'culture', 'entertainment', 'live music', 'performance', 'violin']",384641
117,370,22,34,13,9,44,16,17,16,61,54,81,4,43,14,3,"['design', 'map', 'microsoft', 'technology', 'virtual reality']",308879
118,1137,261,218,730,1021,284,36,27,1544,1569,1265,29,5137,828,21,74,"['Africa', 'Asia', 'Google', 'economics', 'global development', 'global issues', 'health', 'inequality', 'poverty', 'statistics', 'visualizations']",3243784
119,1063,240,720,62,64,237,172,32,32,21,683,437,1507,205,48,54,"['Moon', 'NASA', 'Planets', 'adventure', 'energy', 'exploration', 'mining', 'space', 'technology']",1801117
120,926,392,93,327,181,67,167,107,854,488,146,1707,222,143,62,763,"['TED Brain Trust', 'culture', 'faith', 'meme', 'philosophy', 'religion']",1596067
121,1165,150,303,15,83,30,26,469,400,553,23,13,235,463,47,16,"['Bioethics', 'cancer', 'design', 'health', 'health care', 'medicine', 'technology']",1427723
122,1030,145,558,125,360,50,54,232,416,642,95,31,1157,135,48,28,"['design', 'entertainment', 'global issues', 'software', 'technology']",1049727
123,934,136,94,34,15,50,7,86,38,40,386,103,83,144,40,18,"['AIDS', 'Africa', 'economics', 'global issues', 'health', 'science', 'statistics']",854967
124,997,126,628,238,70,91,21,218,459,596,37,51,1285,90,95,18,"['demo', 'design', 'entertainment', 'gaming', 'technology']",1107307
125,552,276,891,2460,43,169,151,82,431,92,78,81,103,76,238,65,"['entertainment', 'poetry', 'spoken word']",3387765
126,585,231,1054,449,149,252,65,23,52,397,912,28,1772,14,111,31,"['animation', 'design', 'entertainment', 'film', 'health', 'medicine', 'science', 'technology', 'visualizations']",1788182
127,288,80,52,96,440,38,105,42,44,10,27,14,74,8,52,11,"['culture', 'health care', 'marketing', 'medicine']",558993
128,1070,97,249,254,15,15,29,286,80,30,17,35,165,29,53,10,"['Africa', 'business', 'corruption', 'economics', 'entrepreneur', 'global development', 'global issues', 'philanthropy']",648234
129,1330,108,102,26,193,14,141,32,32,28,39,1249,38,22,16,11,"['Africa', 'business', 'economics', 'entrepreneur', 'global development', 'global issues', 'health care', 'investment', 'philanthropy', 'women', 'women in business']",524049
130,252,174,236,310,348,36,70,1047,216,12,14,13,51,136,23,14,"['Africa', 'alternative energy', 'design', 'energy', 'global issues', 'interview', 'library', 'technology']",1543596
131,1141,31,119,98,31,33,8,16,11,16,34,3,5,6,1,1,"['Africa', 'business', 'entrepreneur', 'global issues', 'investment']",335086
132,1051,150,320,171,810,146,115,29,45,54,3,183,65,50,5,1,"['Africa', 'culture', 'education', 'global issues', 'leadership', 'social change']",1216429
133,1056,77,221,220,133,140,83,24,102,13,39,28,42,13,16,14,"['Africa', 'culture', 'entertainment', 'global issues', 'literature', 'poetry', 'storytelling']",561703
134,1103,106,412,89,126,167,18,47,7,87,19,140,32,44,6,7,"['business', 'global development', 'global issues', 'investment', 'medicine', 'philanthropy', 'poverty', 'women', 'women in business']",836269
135,606,60,72,359,207,42,15,13,10,5,17,5,18,32,12,3,"['Africa', 'activism', 'entertainment', 'live music', 'music', 'singer', 'women']",531957
136,299,36,4,54,210,4,5,71,17,24,7,35,13,10,2,0,"['Africa', 'entertainment', 'guitar', 'live music', 'music']",416603
137,931,49,91,412,75,137,37,31,42,52,40,83,64,19,25,7,"['business', 'entertainment', 'film', 'global issues', 'movies', 'philanthropy', 'social change']",727247
138,310,102,942,1075,310,688,28,265,25,348,24,26,2080,87,65,25,"['culture', 'demo', 'global issues', 'health care', 'invention', 'peace', 'prosthetics', 'science', 'technology', 'war']",1575699
139,950,151,45,343,518,195,965,243,557,31,83,51,104,206,41,40,"['books', 'culture', 'education', 'entertainment', 'language']",1013063
140,1027,126,240,251,403,52,64,25,115,15,9,1020,67,38,8,7,"['Africa', 'business', 'global development', 'global issues', 'investment', 'philanthropy', 'technology']",722877
141,493,304,1514,1289,656,67,631,109,74,214,77,37,2186,100,30,21,"['animals', 'art', 'biomechanics', 'creativity', 'demo', 'design', 'entertainment', 'science and art', 'technology']",3982352
142,1047,124,206,956,91,175,476,100,148,352,46,13,193,150,29,24,"['TED Brain Trust', 'culture', 'language', 'psychology', 'science']",1914263
143,1155,677,1314,242,491,731,176,147,116,48,39,42,1739,161,94,109,"['TED Brain Trust', 'business', 'culture', 'global issues', 'media', 'sociology', 'violence', 'war']",2063367
144,1056,164,72,338,145,25,33,65,198,18,60,30,69,51,23,3,"['entertainment', 'film', 'global issues', 'storytelling', 'technology', 'war']",507997
145,951,65,349,436,56,25,55,167,31,24,33,21,23,64,46,1,"['Africa', 'anthropology', 'exploration', 'global issues', 'human origins', 'humanity', 'paleontology', 'science']",913666
146,959,83,643,183,269,403,184,27,185,145,190,168,50,155,45,22,"['art', 'design', 'simplicity', 'technology']",1215947
147,1782,169,244,460,61,356,121,20,70,152,14,79,97,19,69,158,"['asteroid', 'climate change', 'future', 'global issues', 'humanity', 'science', 'solar system', 'space', 'technology']",1712075
148,1280,29,140,111,111,148,70,165,18,31,12,13,13,31,34,3,"['alternative energy', 'business', 'design', 'drones', 'energy', 'flight', 'invention', 'solar energy', 'technology']",736290
149,1029,225,1768,1166,1224,73,880,61,47,65,15,4971,78,108,25,24,"['NASA', 'Planets', 'design', 'exploration', 'science', 'solar system', 'space', 'technology', 'universe', 'visualizations']",2627709
150,212,101,307,414,200,562,229,125,41,73,67,9,1153,533,110,13,"['culture', 'dance', 'entertainment', 'performance']",1720579
151,1791,80,367,150,700,252,230,57,55,33,7,46,72,44,55,12,"['aircraft', 'business', 'entertainment', 'entrepreneur', 'global issues', 'interview', 'music', 'space', 'technology']",1609555
152,378,242,278,173,448,33,64,297,42,27,25,31,106,60,20,11,"['AI', 'cognitive science', 'demo', 'design', 'evolution', 'robots', 'technology']",1212346
153,1050,45,160,138,67,263,121,144,28,25,118,49,15,7,28,67,"['art', 'children', 'culture', 'design', 'entertainment', 'happiness']",672254
154,963,145,454,111,249,128,211,190,166,26,16,19,154,21,49,29,"['cities', 'communication', 'culture', 'design', 'global issues', 'technology', 'telecom']",694378
155,1414,432,3847,2402,673,1458,215,969,25,77,31,52,1775,423,15,107,"['brain', 'consciousness', 'culture', 'illness', 'illusion', 'science', 'technology']",3930186
156,1234,64,222,177,78,27,38,137,29,47,8,31,31,73,3,1,"['business', 'economics', 'food', 'global issues', 'technology', 'women in business']",562457
157,1338,262,1417,1286,466,453,37,308,95,54,39,16,121,44,128,28,"['brain', 'depression', 'health care', 'illness', 'medicine', 'mental health', 'science', 'suicide', 'technology']",1522858
158,1254,412,245,3774,400,1621,88,1170,863,106,194,109,618,139,268,28,"['Buddhism', 'God', 'brain', 'culture', 'evolutionary psychology', 'faith', 'global issues', 'happiness', 'peace', 'photography', 'psychology', 'religion']",7271730
159,1136,328,423,1074,344,589,1014,254,35,91,76,76,2163,41,89,157,"['business', 'creativity', 'entertainment', 'law', 'technology']",1895259
160,299,40,140,195,261,65,12,34,64,9,23,15,98,40,9,9,"['DNA', 'MacArthur grant', 'complexity', 'computers', 'science']",410563
161,958,279,680,262,166,300,184,129,57,30,43,14,1352,61,77,43,"['business', 'china', 'climate change', 'engineering', 'global issues', 'science', 'technology']",876658
162,1090,115,551,282,71,81,246,186,79,115,30,11,1008,63,69,37,"['TED Brain Trust', 'biodiversity', 'biotech', 'business', 'energy', 'science', 'technology']",898974
163,1261,46,207,57,171,104,56,19,94,14,28,48,28,44,9,2,"['climate change', 'culture', 'global issues', 'health', 'peace']",418234
164,1164,31,310,513,262,228,78,51,4,13,7,9,116,26,21,14,"['design', 'evolution', 'robots', 'science', 'technology']",707524
165,1017,185,1137,412,657,38,19,365,317,73,45,39,954,102,51,15,"['Africa', 'architecture', 'culture', 'design', 'math', 'technology']",1527858
166,1026,156,276,192,855,334,711,201,175,216,165,103,129,68,88,67,"['design', 'humanity', 'humor', 'philosophy', 'storytelling']",1783740
167,962,160,296,372,483,57,55,509,120,297,53,42,50,115,114,13,"['String theory', 'physics', 'science', 'storytelling', 'technology']",1181696
168,1184,154,333,221,620,254,67,10,45,63,40,38,375,46,17,123,"['MacArthur grant', 'business', 'economics', 'energy', 'environment', 'green', 'science', 'technology']",832668
169,914,604,3710,1944,340,817,429,2152,168,84,114,182,7196,314,128,151,"['education', 'entertainment', 'magic', 'math', 'performance']",8360707
