card_id,playerClass,type,name,cost,attack,health,rarity,durability,collectible,race,set,text,flavor,targeting_arrow_text,
KAR_076,MAGE,SPELL,Firelands Portal,7,,,COMMON,,TRUE,,KARA,"Deal $5 damage. Summon a random
5-Cost minion.","Come to beautiful Firelands! Where it's <i>""Way nicer than the Abyssal Maw!""</i>",,
BRM_011t,SHAMAN,ENCHANTMENT,Lava Shock,,,,,,,,BRM,Cards you play this turn don't cause <b>Overload</b>.,,,
AT_024,WARLOCK,SPELL,Demonfuse,2,,,COMMON,,TRUE,,TGT,Give a Demon +3/+3. Give your opponent a Mana Crystal.,Very dangerous when attached to a demonbomb.,,
BRMA06_2,NEUTRAL,HERO_POWER,The Majordomo,2,,,,,,,BRM,"<b>Hero Power</b>
Summon a 1/3 Flamewaker Acolyte.",,,
OG_024,SHAMAN,MINION,Flamewreathed Faceless,4,7,7,COMMON,,TRUE,,OG,<b>Overload:</b> (2),He's on fire! Boomshakalaka!,,
NAX5_02,NEUTRAL,HERO_POWER,Eruption,1,,,,,,,NAXX,"<b>Hero Power</b>
Deal 2 damage to the left-most enemy minion.",,,
BRMA05_2,NEUTRAL,HERO_POWER,Ignite Mana,0,,,,,,,BRM,"<b>Hero Power</b>
Deal 5 damage to the enemy hero if they have any unspent Mana.",,,
BRMA10_3H,NEUTRAL,HERO_POWER,The Rookery,0,,,,,,,BRM,"<b>Hero Power</b>
Give all Corrupted Eggs +1 Health, then summon one.",,,
KAR_710m,NEUTRAL,MINION,Animated Shield,2,0,5,,,,,KARA,<b>Taunt</b>,,,
BRM_004e,NEUTRAL,ENCHANTMENT,Twilight Endurance,,,,,,,,BRM,Increased Health.,,,
OG_080c,ROGUE,SPELL,Bloodthistle Toxin,1,,,,,,,OG,"Return a friendly minion to your hand.
It costs (2) less.",,,
CS2_039,SHAMAN,SPELL,Windfury,2,,,FREE,,TRUE,,CORE,Give a minion <b>Windfury</b>.,"Windfury is like Earthfury and Firefury, but more light and airy.",,
EX1_295o,MAGE,ENCHANTMENT,Ice Block,,,,,,,,EXPERT1,Your hero is <b>Immune</b> this turn.,,,
OG_158,NEUTRAL,MINION,Zealous Initiate,1,1,1,COMMON,,TRUE,,OG,<b>Deathrattle:</b> Give a random friendly minion +1/+1.,"Ok, Initiate. You need to settle down and do your job. In this case, that means die so someone else can get a minor buff.",,
LOE_110t,NEUTRAL,SPELL,Ancient Curse,0,,,,,,,LOE,"When you draw this, take 7 damage and draw a card.",,,
BRMA13_4H,NEUTRAL,HERO_POWER,Wild Magic,1,,,,,,,BRM,"<b>Hero Power</b>
Put a random spell from your opponent's class into your hand.",,,
LOEA08_01,NEUTRAL,HERO,Archaedas,,,30,,,,,LOE,,,,
KAR_A10_22,NEUTRAL,HERO_POWER,Castle,2,,,,,,,KARA,"<b>Hero Power</b>
<b>Discover</b> a chess piece.",,,
OG_211,HUNTER,SPELL,Call of the Wild,9,,,EPIC,,TRUE,,OG,Summon all three Animal Companions.,"""Hello. Misha, Leokk and Huffer aren't here right now, but if you leave a message we'll get back to you right away."" BEEP.",,
EX1_382e,PALADIN,ENCHANTMENT,Stand Down!,,,,,,,,EXPERT1,Attack changed to 1.,,,
EX1_145o,ROGUE,ENCHANTMENT,Preparation,,,,,,,,EXPERT1,The next spell you cast this turn costs (3) less.,,,
NAX15_01H,NEUTRAL,HERO,Kel'Thuzad,,,45,,,,,NAXX,,,,
TU4a_006,MAGE,HERO,Jaina Proudmoore,,,30,COMMON,,,,MISSIONS,,,,
TB_KaraPortal_002,NEUTRAL,SPELL,Call Mediva,2,,,FREE,,,,TB,Summon a random Mediva,,,
LOEA05_01h,NEUTRAL,HERO,Chieftain Scarvash,,,30,,,,,LOE,,,,
LOEA09_2e,NEUTRAL,ENCHANTMENT,Enraged,,,,,,,,LOE,+2 Attack,,,
CRED_15,NEUTRAL,MINION,Andy Brock,1,1,3,LEGENDARY,,,,CREDITS,"Can't be <b>Silenced. Divine Shield, Stealth.</b>",,,
CFM_621_m2,NEUTRAL,MINION,Kabal Demon,5,5,5,,,,DEMON,GANGS,,,,
EX1_570e,NEUTRAL,ENCHANTMENT,Bite,,,,,,,,EXPERT1,+4 Attack this turn.,,,
TB_Coopv3_100,NEUTRAL,MINION,Dragonscale Warrior,3,3,4,,,,,TB,"Whenever any player targets this minion with a spell, that player draws a card.",,,
GVG_069,NEUTRAL,MINION,Antique Healbot,5,3,3,COMMON,,TRUE,MECHANICAL,GVG,<b>Battlecry:</b> Restore 8 Health to your hero.,"They don't make 'em like they used to! (Because of explosions, mostly.)",,
NEW1_018e,NEUTRAL,ENCHANTMENT,Treasure Crazed,,,,,,,,EXPERT1,Increased Attack.,,,
CRED_27,NEUTRAL,MINION,Henry Ho,3,3,4,LEGENDARY,,,,CREDITS,<b>Battlecry:</b> Spectate your opponent's hand.,,,
hexfrog,NEUTRAL,MINION,Frog,0,0,1,COMMON,,,BEAST,CORE,<b>Taunt</b>,,,
OG_101,PRIEST,SPELL,Forbidden Shaping,0,,,EPIC,,TRUE,,OG,Spend all your Mana. Summon a random minion that costs that much.,But the minion arrives covered in goo.,,
CS2_094,PALADIN,SPELL,Hammer of Wrath,4,,,FREE,,TRUE,,CORE,"Deal $3 damage.
Draw a card.","A good paladin has many tools.  Hammer of Wrath, Pliers of Vengeance, Hacksaw of Justice, etc.",,
TB_SPT_DPromoHP,,HERO_POWER,Diabolical Powers,2,,,,,,,TB,Summon a random Imp.,,,
GVG_072,PRIEST,MINION,Shadowboxer,2,2,3,RARE,,TRUE,MECHANICAL,GVG,"Whenever a character is healed, deal 1 damage to a random enemy.","Punching is its primary function. Also, its secondary function.",,
CFM_621t15,NEUTRAL,SPELL,Kazakus Potion,10,,,,,,,GANGS,"{0}
{1}",,,
EX1_093e,NEUTRAL,ENCHANTMENT,Hand of Argus,,,,,,,,EXPERT1,+1/+1 and <b>Taunt</b>.,,,
EX1_531e,HUNTER,ENCHANTMENT,Well Fed,,,,,,,,EXPERT1,Increased Attack and Health.,,,
OG_145,NEUTRAL,MINION,Psych-o-Tron,5,3,4,COMMON,,TRUE,MECHANICAL,OG,"<b>Taunt</b>
<b>Divine Shield</b>","""Annoyinger-o-Tron"" was just too unwieldy. And accurate.",,
AT_069e,WARRIOR,ENCHANTMENT,Training Complete,,,,,,,,TGT,<b>Taunt</b>,,,
OG_313,DRUID,MINION,Addled Grizzly,3,2,2,RARE,,TRUE,BEAST,OG,"After you summon a minion, give it +1/+1.","Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods.  Right now they are whispering the lyrics to ""La Bamba"".",,
TB_KTRAF_2s,NEUTRAL,MINION,Sir Zeliek,4,1,5,LEGENDARY,,,,TB,Lady Blaumeux is <b>Immune</b>.,,,
AT_090,NEUTRAL,MINION,Mukla's Champion,5,4,3,COMMON,,TRUE,BEAST,TGT,<b>Inspire:</b> Give your other minions +1/+1.,"An elegant gorilla, for a more civilized age.",,
NAX9_07,NEUTRAL,SPELL,Mark of the Horsemen,5,,,,,,,NAXX,Give your minions and your weapon +1/+1.,,,
KARA_00_01H,NEUTRAL,HERO,Prince Malchezaar,,,60,,,,,KARA,,,,
BRMA15_3,NEUTRAL,SPELL,Release the Aberrations!,2,,,,,,,BRM,Summon 3 Aberrations.,,,
KAR_035,PRIEST,MINION,Priest of the Feast,4,3,6,COMMON,,TRUE,,KARA,"Whenever you cast a spell, restore 3 Health to
your hero.",Now that's a world champion cheesecake!,,
BRM_027pH,NEUTRAL,HERO_POWER,"DIE, INSECTS!",2,,,,,,,BRM,"<b>Hero Power</b>
Deal $8 damage to a random enemy. TWICE.",,,
AT_060,HUNTER,SPELL,Bear Trap,2,,,COMMON,,TRUE,,TGT,"<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.","You'll never guess what's in that conveniently bear-sized, bear-smelling box.",,
EX1_584e,NEUTRAL,ENCHANTMENT,Teachings of the Kirin Tor,,,,,,,,EXPERT1,<b>Spell Damage +1</b>.,,,
BRMA12_10,NEUTRAL,HERO_POWER,Mutation,1,,,,,,,BRM,"<b>Hero Power</b>
Discard a random card.",,,
CS2_087e,PALADIN,ENCHANTMENT,Blessing of Might,,,,,,,,CORE,+3 Attack.,,,
TB_MechWar_Minion1,NEUTRAL,MINION,Mech Fan,2,1,1,,,,,TB,<b>Taunt</b>,,,
GVG_056t,WARRIOR,SPELL,Burrowing Mine,0,,,,,,,GVG,"When you draw this, it explodes. You take 10 damage and draw a card.",,,
OG_080de,NEUTRAL,ENCHANTMENT,Fadeleaf,,,,,,,,OG,Stealthed until your next turn.,,,
NEW1_027e,NEUTRAL,ENCHANTMENT,Yarrr!,,,,,,,,EXPERT1,Southsea Captain is granting +1/+1.,,,
NAX13_04H,NEUTRAL,MINION,Feugen,5,4,7,LEGENDARY,,,,NAXX,,,,
XXX_099,NEUTRAL,MINION,AI Helper Buddy,0,1,1,,,,,CHEAT,Get the AI ready for testing.,,,
TB_CoOpv3_104e,NEUTRAL,ENCHANTMENT,Unity,,,,,,,,TB,1,,,
GVG_115,NEUTRAL,MINION,Toshley,6,5,7,LEGENDARY,,TRUE,,GVG,<b>Battlecry and Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,Something about power converters.,,
CFM_602,DRUID,SPELL,Jade Idol,1,,,RARE,,TRUE,,GANGS,<b>Choose One -</b> Summon a{1} {0} <b>Jade Golem</b>; or Shuffle 3 copies of this card into your deck.,Shuffle or no guts.,,
CS2_141,NEUTRAL,MINION,Ironforge Rifleman,3,2,2,COMMON,,TRUE,,CORE,<b>Battlecry:</b> Deal 1 damage.,"""Ready! Aim! Drink!""",Deal 1 damage.,
BRMA12_4H,NEUTRAL,SPELL,Brood Affliction: Green,3,,,,,,,BRM,"While this is in your hand, restore 6 health to your opponent at the start of your turn.",,,
CFM_312,SHAMAN,MINION,Jade Chieftain,7,5,5,COMMON,,TRUE,,GANGS,<b>Battlecry:</b> Summon a{1} {0} <b>Jade Golem</b>. Give it <b>Taunt</b>.,"Seeing his Jade Golem grow up into the tall, handsome 6/6 standing before him was the proudest moment of his life.",,
NAX12_01,NEUTRAL,HERO,Gluth,,,30,,,,,NAXX,,,,
CS2_063,WARLOCK,SPELL,Corruption,1,,,COMMON,,TRUE,,CORE,"Choose an enemy minion. At the start of your turn, destroy it.","It starts with stealing a pen from work, and before you know it, BOOM!  Corrupted!",,
AT_132_WARLOCK,WARLOCK,HERO_POWER,Soul Tap,2,,,,,,,TGT,"<b>Hero Power</b>
Draw a card.",,,
LOEA09_6H,NEUTRAL,MINION,Slithering Archer,2,2,2,,,,,LOE,<b>Battlecry:</b> Deal 2 damage to all enemy minions.,,,
EX1_383,PALADIN,MINION,Tirion Fordring,8,6,6,LEGENDARY,,TRUE,,EXPERT1,<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3 Ashbringer.,"If you haven't heard the Tirion Fordring theme song, it's because it doesn't exist.",,
LOEA07_12,NEUTRAL,MINION,Earthen Pursuer,5,4,6,,,,,LOE,,,,
CFM_755,WARRIOR,MINION,Grimestreet Pawnbroker,3,3,3,RARE,,TRUE,,GANGS,<b>Battlecry:</b> Give a random weapon in your hand +1/+1.,"""I don't know a lot about used GvG cards, so I'm going to have to call in an expert.""",,
AT_077,PALADIN,WEAPON,Argent Lance,2,2,,RARE,2,TRUE,,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, +1 Durability.","The stripes make it look like a candy cane, but we recommend against licking it.",,
LOEA04_01h,NEUTRAL,HERO,Temple Escape,,,100,,,,,LOE,,,,
GVG_055e,WARRIOR,ENCHANTMENT,Screwy Jank,,,,,,,,GVG,1,,,
NAX9_05H,NEUTRAL,WEAPON,Runeblade,3,2,,,3,,,NAXX,Has +6 Attack if the other Horsemen are dead.,,,
EX1_366,PALADIN,WEAPON,Sword of Justice,3,1,,EPIC,5,TRUE,,EXPERT1,"After you summon a minion, give it +1/+1 and this loses 1 Durability.",I dub you Sir Loin of Beef!,,
KAR_A02_09e,NEUTRAL,ENCHANTMENT,Table Set,,,,,,,,KARA,1,,,
AT_085,NEUTRAL,MINION,Maiden of the Lake,4,2,6,COMMON,,TRUE,,TGT,Your Hero Power costs (1).,Not a good basis for a system of government.,,
EX1_614t,NEUTRAL,MINION,Flame of Azzinoth,1,2,1,,,,,EXPERT1,,,,
TBST_006,NEUTRAL,ENCHANTMENT,OLDTBST Push Common Card,,,,,,,,TB,push a common card into player's hand,,,
TB_GiftExchange_Snowball,NEUTRAL,SPELL,Hardpacked Snowballs,0,,,,,,,TB,Return 3 random enemy minions to your opponent's hand.,,,
EX1_tk34,WARLOCK,MINION,Infernal,6,6,6,COMMON,,,DEMON,EXPERT1,,,,
TB_006e,NEUTRAL,ENCHANTMENT,Big Banana,,,,,,,,TB,Has +2/+2.,,,
LOEA16_22,NEUTRAL,MINION,Archaedas,5,5,5,LEGENDARY,,,,LOE,"At the end of your turn, turn a random enemy minion into a 0/2 Statue.",,,
TB_014,NEUTRAL,SPELL,Choose a New Card!,0,,,,,,,TB,Look at 3 random cards. Choose one and put it into your hand.,,,
CS2_064,WARLOCK,MINION,Dread Infernal,6,6,6,COMMON,,TRUE,DEMON,CORE,<b>Battlecry:</b> Deal 1 damage to ALL other characters.,"""INFERNOOOOOOOOOO!"" - Jaraxxus, Eredar Lord of the Burning Legion",,
EX1_613e,ROGUE,ENCHANTMENT,VanCleef's Vengeance,,,,,,,,EXPERT1,Increased stats.,,,
TB_006,NEUTRAL,SPELL,Big Banana,1,,,,,,,TB,Give a minion +2/+2.,,,
LOEA09_11,NEUTRAL,MINION,Hungry Naga,3,1,1,,,,,LOE,,,,
CS2_213,NEUTRAL,MINION,Reckless Rocketeer,6,5,2,FREE,,TRUE,,CORE,<b>Charge</b>,One Insane Rocketeer.   One Rocket full of Explosives.   Infinite Fun.,,
KAR_A10_04,NEUTRAL,MINION,White Rook,3,2,6,,,,,KARA,<b>Auto-Attack:</b> Deal 2 damage to the enemies opposite this minion.,,,
KARA_09_01,NEUTRAL,HERO,Terestian Illhoof,,,30,,,,,KARA,,,,
FP1_014t,NEUTRAL,MINION,Thaddius,10,11,11,LEGENDARY,,,,NAXX,,,,
CS2_062,WARLOCK,SPELL,Hellfire,4,,,FREE,,TRUE,,CORE,Deal $3 damage to ALL characters.,It's spells like these that make it hard for Warlocks to get decent help.,,
CRED_37,NEUTRAL,MINION,Ricardo Robaina,4,3,4,LEGENDARY,,,,CREDITS,<b>Battlecry:</b> Summon three 1/1 Chinchillas.,,,
CFM_671e,NEUTRAL,ENCHANTMENT,We All Scream,,,,,,,,GANGS,1,,,
OG_241a,WARLOCK,MINION,Shadowbeast,1,1,1,,,,,OG,,,,
CFM_712_t04,NEUTRAL,MINION,Jade Golem,4,4,4,,,,,GANGS,,,,
CFM_621t21,NEUTRAL,SPELL,Mystic Wool,5,,,,,,,GANGS,Transform a random enemy minion into a 1/1 Sheep.,,,
CFM_602a,DRUID,SPELL,Jade Idol,0,,,,,,,GANGS,Summon a{1} {0} <b>Jade Golem</b>.,,,
AT_019,WARLOCK,MINION,Dreadsteed,4,1,1,EPIC,,TRUE,DEMON,TGT,<b>Deathrattle:</b> Summon a Dreadsteed.,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",,
EX1_162,NEUTRAL,MINION,Dire Wolf Alpha,2,2,2,COMMON,,TRUE,BEAST,EXPERT1,Adjacent minions have +1 Attack.,"We are pretty excited about the upcoming release of Dire Wolf Beta, just repost this sign for a chance at a key.",,
CFM_751,WARLOCK,MINION,Abyssal Enforcer,7,6,6,COMMON,,TRUE,DEMON,GANGS,<b>Battlecry:</b> Deal 3 damage to all other characters.,The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND.,,
TU4a_001,NEUTRAL,HERO,Hogger,,,10,COMMON,,,,MISSIONS,,,,
BRM_005,WARLOCK,SPELL,Demonwrath,3,,,RARE,,TRUE,,BRM,Deal $2 damage to all non-Demon minions.,Demons are not angry most of the time. You have to play this card in order to really bring it out of them.,,
CFM_336e,NEUTRAL,ENCHANTMENT,Smuggling,,,,,,,,GANGS,+2/+2 from Shaky Zipgunner.,,,
LOEA02_06,NEUTRAL,SPELL,Wish for More Wishes,0,,,,,,,LOE,Gain 2 Wishes.,,,
OG_200e,NEUTRAL,ENCHANTMENT,Doom Free,,,,,,,,OG,Attack set to 7.,,,
GVG_051,WARRIOR,MINION,Warbot,1,1,3,COMMON,,TRUE,MECHANICAL,GVG,<b>Enrage:</b> +1 Attack.,"Mass production of warbots was halted when it was discovered that they were accidentally being produced at ""sample size.""",,
EX1_165t2,DRUID,MINION,Druid of the Claw,5,4,6,COMMON,,,BEAST,EXPERT1,<b>Taunt</b>,,,
GVG_068,NEUTRAL,MINION,Burly Rockjaw Trogg,4,3,5,COMMON,,TRUE,,GVG,"Whenever your opponent casts a spell, gain +2 Attack.",He's burly because he does CrossFit.,,
BRMC_90,NEUTRAL,MINION,Living Lava,2,6,6,,,,,TB,<b>Taunt</b>,,,
skele21,NEUTRAL,MINION,Damaged Golem,1,2,1,COMMON,,,MECHANICAL,EXPERT1,,,,
TB_ClassRandom_Priest,PRIEST,SPELL,Second Class: Priest,0,,,,,,,TB,Add Priest cards to your deck.,,,
LOEA09_3a,NEUTRAL,ENCHANTMENT,Famished,,,,,,,,LOE,Quite Hungry.,,,
CFM_308a,DRUID,SPELL,Forgotten Armor,0,,,,,,,GANGS,Gain 10 Armor.,,,
OG_138,NEUTRAL,MINION,Nerubian Prophet,6,4,4,COMMON,,TRUE,,OG,"At the start of your turn, reduce this card's
Cost by (1).",It’s a self-reducing prophecy.,,
BRMC_97e,NEUTRAL,ENCHANTMENT,Burning Adrenaline,,,,,,,,TB,Costs (2) less.,,,
KAR_A01_02,NEUTRAL,HERO_POWER,Reflections,0,,,,,,,KARA,"<b>Passive Hero Power</b>
Whenever a minion is played, summon a 1/1 copy of it.",,,
LOEA06_04h,NEUTRAL,SPELL,Shattering Spree,2,,,,,,,LOE,"Destroy all Statues. For each destroyed, deal 3 damage.",,,
GVG_106,NEUTRAL,MINION,Junkbot,5,1,5,EPIC,,TRUE,MECHANICAL,GVG,"Whenever a friendly Mech dies, gain +2/+2.",One bot's junk is another bot's AWESOME UPGRADE!,,
XXX_109,NEUTRAL,MINION,Illidan Stormrage Cheat,0,7,5,COMMON,,,DEMON,CHEAT,"Whenever you play a card, deal 1 damage to all minions.",,,
EX1_556,NEUTRAL,MINION,Harvest Golem,3,2,3,COMMON,,TRUE,MECHANICAL,EXPERT1,<b>Deathrattle:</b> Summon a 2/1 Damaged Golem.,"""Overheat threshold exceeded. System failure. Wheat clog in port two. Shutting down.""",,
NAX2_03,NEUTRAL,HERO_POWER,Rain of Fire,2,,,,,,,NAXX,"<b>Hero Power</b>
Fire a missile for each card in your opponent's hand.",,,
NAX8_04,NEUTRAL,MINION,Unrelenting Warrior,3,3,4,,,,,NAXX,<b>Deathrattle:</b> Summon a Spectral Warrior for your opponent.,,,
EX1_334e,PRIEST,ENCHANTMENT,Shadow Madness,,,,,,,,EXPERT1,This minion has switched controllers this turn.,,,
AT_087,NEUTRAL,MINION,Argent Horserider,3,2,1,COMMON,,TRUE,,TGT,"<b>Charge</b>
<b>Divine Shield</b>",His horse's name is Betsy.,,
XXX_029,NEUTRAL,SPELL,Opponent Concede,0,,,,,,,CHEAT,Force your opponent to concede.,,,
CFM_325,NEUTRAL,MINION,Small-Time Buccaneer,1,1,2,RARE,,TRUE,PIRATE,GANGS,Has +2 Attack while you have a weapon equipped.,"""Oh, I'm not serious about it.  I only pirate on the weekends.""",,
LOEA09_5H,NEUTRAL,MINION,Hungry Naga,3,3,3,,,,,LOE,,,,
CS2_092,PALADIN,SPELL,Blessing of Kings,4,,,COMMON,,TRUE,,CORE,Give a minion +4/+4. <i>(+4 Attack/+4 Health)</i>,"Given the number of kings who have been assassinated, are you sure you want their blessing?",,
BRMA14_10H,NEUTRAL,HERO_POWER,Activate!,2,,,,,,,BRM,"<b>Hero Power</b>
Activate a random Tron.",,,
LOEA16_23,NEUTRAL,MINION,Lord Slitherspear,5,5,5,LEGENDARY,,,,LOE,"At the end of your turn, summon 1/1 Hungry Naga for each enemy minion.",,,
GVG_045t,WARLOCK,MINION,Imp,1,1,1,,,,DEMON,GVG,,,,
OG_113e,WARLOCK,ENCHANTMENT,Power of the People,,,,,,,,OG,Increased Attack.,,,
OG_256,NEUTRAL,MINION,Spawn of N'Zoth,3,2,2,COMMON,,TRUE,,OG,<b>Deathrattle:</b> Give your minions +1/+1.,Who's a cute widdle N'Zoth? You are! Yes you are! Yes you're the cutest widdle N'Zoth in the whole world!!!,,
TB_PickYourFate_7_2nd,NEUTRAL,SPELL,Dire Fate: Manaburst,0,,,,,,,TB,Minions gain <b>Deathrattle:</b> Random card in owner's hand costs (0).,,,
LOE_118e,WARRIOR,ENCHANTMENT,Cursed Blade,,,,,,,,LOE,Double all damage dealt to your hero.,,,
CS2_236e,PRIEST,ENCHANTMENT,Divine Spirit,,,,,,,,CORE,This minion has double Health.,,,
XXX_053,NEUTRAL,SPELL,Armor 100,0,,,,,,,CHEAT,Give target Hero +100 Armor,,,
EX1_407,WARRIOR,SPELL,Brawl,5,,,EPIC,,TRUE,,EXPERT1,Destroy all minions except one. <i>(chosen randomly)</i>,Do you know the first rule of Brawl Club?,,
NAX15_03n,NEUTRAL,MINION,Guardian of Icecrown,4,3,3,,,,,NAXX,<b>Taunt</b>,,,
KARA_12_02,NEUTRAL,HERO_POWER,Ley Lines,0,,,,,,,KARA,"[x]<b>Passive Hero Power</b>
Both players have
<b>Spell Damage +3</b>.",,,
CFM_338e,HUNTER,ENCHANTMENT,Smuggling,,,,,,,,GANGS,+1/+1 from Trogg Beastrager.,,,
TB_CoOpBossSpell_2,NEUTRAL,SPELL,Bomb Salvo,0,,,,,,,TB,Deal Attack damage to up to 3 random targets.,,,
FP1_002t,NEUTRAL,MINION,Spectral Spider,1,1,1,,,,,NAXX,,,,
KARA_00_03c,NEUTRAL,HERO,Medivh,,,0,,,,,KARA,,,,
XXX_104,NEUTRAL,SPELL,Add 4 to Health.,0,,,COMMON,,,,CHEAT,Adds 4 health to a damaged character. Does NOT heal.,,,
AT_051,SHAMAN,SPELL,Elemental Destruction,3,,,EPIC,,TRUE,,TGT,Deal $4-$5 damage to all minions. <b>Overload:</b> (5).,"I'm not a shaman or anything, but isn't Elemental Destruction the opposite of what they want to do?",,
BRMA01_3,NEUTRAL,MINION,Dark Iron Bouncer,6,4,8,,,,,BRM,Always wins Brawls.,,,
